Entity,Code,Year,Homicides - sex: Female - age: Total,Homicides - sex: Male - age: Total
Thailand,THA,2002,697.6408,3840.3591
Thailand,THA,2003,952.4451,5481.5547
Thailand,THA,2004,503.6136,3769.3865
Thailand,THA,2005,621.5873,4184.4126
Thailand,THA,2006,580.468,4106.532
Thailand,THA,2007,596.109,3838.8909
Thailand,THA,2008,526.1742,3447.8257
Thailand,THA,2009,491.57162,3211.4285
Thailand,THA,2010,457.1651,3196.835
Thailand,THA,2011,445.2812,2861.7188
Thailand,THA,2012,474.7143,2848.2856
Thailand,THA,2013,378.14423,2515.8557
Thailand,THA,2014,403.543,2245.457
Tonga,TON,2000,0,1
Tonga,TON,2001,1,5
Tonga,TON,2002,1,5
Tonga,TON,2003,0,6
Tonga,TON,2004,0,2
Tonga,TON,2005,0,4
Tonga,TON,2006,0,8
Tonga,TON,2007,0,1
Tonga,TON,2008,1,3
Tonga,TON,2009,3,5
Tonga,TON,2010,0,1
Tonga,TON,2011,0,2
Tonga,TON,2012,1,0
Tonga,TON,2019,1,1
Tonga,TON,2020,,2
Trinidad and Tobago,TTO,2004,26,234
Trinidad and Tobago,TTO,2005,39,347
Trinidad and Tobago,TTO,2006,34,337
Trinidad and Tobago,TTO,2007,30,361
Trinidad and Tobago,TTO,2008,57,490
Trinidad and Tobago,TTO,2009,40,467
Trinidad and Tobago,TTO,2010,52.888187,420.11182
Trinidad and Tobago,TTO,2011,30,322
Trinidad and Tobago,TTO,2012,45,335
Trinidad and Tobago,TTO,2013,39,368
Trinidad and Tobago,TTO,2014,45,360
Trinidad and Tobago,TTO,2015,29,391
Trinidad and Tobago,TTO,2017,52,443
Trinidad and Tobago,TTO,2018,47,470
Trinidad and Tobago,TTO,2019,64,475
Trinidad and Tobago,TTO,2020,54,345
Tunisia,TUN,2019,103,468
Tunisia,TUN,2020,115,447
Turkey,TUR,2003,588.09607,2248.904
Turkey,TUR,2004,605.49994,2308.5
Turkey,TUR,2005,607.8979,2697.102
Turkey,TUR,2006,550.7446,2617.2554
Turkey,TUR,2007,615,2984
Turkey,TUR,2008,570,2687
Turkey,TUR,2010,634,2430
Turkey,TUR,2011,629,2432
Turkey,TUR,2012,606,2610
Turkey,TUR,2015,412,1818
Turkey,TUR,2016,441,2257
Turkey,TUR,2017,424,2113
Turkey,TUR,2018,399,1760
Turkey,TUR,2019,456,1589
Turkey,TUR,2020,386,1758
Turkey,TUR,2021,438,1727
Turkey,TUR,2022,466,1816
Turkey,TUR,2023,733,2084
Turkmenistan,TKM,2010,30,75
Turkmenistan,TKM,2011,18,82
Turkmenistan,TKM,2012,29,50
Turkmenistan,TKM,2013,27,57
Turkmenistan,TKM,2014,18,71
Turkmenistan,TKM,2015,13,50
Turks and Caicos Islands,TCA,1992,0,1
Turks and Caicos Islands,TCA,1993,0,1
Turks and Caicos Islands,TCA,1994,1,1
Turks and Caicos Islands,TCA,1995,1,0
Turks and Caicos Islands,TCA,1996,0,1
Turks and Caicos Islands,TCA,1997,2,0
Turks and Caicos Islands,TCA,2002,0,2
Turks and Caicos Islands,TCA,2007,1,1
Turks and Caicos Islands,TCA,2008,1,1
Turks and Caicos Islands,TCA,2009,0,2
Turks and Caicos Islands,TCA,2013,1,3
Turks and Caicos Islands,TCA,2014,0,2
Uganda,UGA,2008,385,2408
Uganda,UGA,2010,600,2560
Uganda,UGA,2011,743,3010
Uganda,UGA,2012,741,3325
Uganda,UGA,2013,791,3066
Uganda,UGA,2014,841.194,3631.8062
Uganda,UGA,2016,911,3571
Uganda,UGA,2017,834,3901
Uganda,UGA,2022,699,3444
Uganda,UGA,2023,737,3629
Ukraine,UKR,1990,778.33374,1779.6663
Ukraine,UKR,1991,768.37714,1879.6228
Ukraine,UKR,1992,900.225,2469.775
Ukraine,UKR,1993,1001.88794,2694.112
Ukraine,UKR,1994,1124.7455,3098.2544
Ukraine,UKR,1995,1141.0416,3265.9583
Ukraine,UKR,1996,1339.5804,3556.4197
Ukraine,UKR,1997,1186.7361,3044.264
Ukraine,UKR,1998,1193.4703,3001.5298
Ukraine,UKR,1999,1248.5223,3001.4775
Ukraine,UKR,2000,1308.7076,3109.2922
Ukraine,UKR,2001,1485.6777,3368.3223
Ukraine,UKR,2002,1315.3632,2980.637
Ukraine,UKR,2003,1265.9293,2775.0706
Ukraine,UKR,2004,1109.913,2377.087
Ukraine,UKR,2005,958.8439,2071.1562
Ukraine,UKR,2006,908.5741,2049.426
Ukraine,UKR,2008,739.02,1726.98
Ukraine,UKR,2009,705.0777,1534.9222
Ukraine,UKR,2010,603.2948,1384.7052
Ukraine,UKR,2017,461,2290
United Arab Emirates,ARE,2010,17.946428,49.05357
United Arab Emirates,ARE,2011,14.875,36.125
United Arab Emirates,ARE,2012,16.967213,52.032787
United Arab Emirates,ARE,2013,18.283018,38.71698
United Arab Emirates,ARE,2014,16.339285,44.660713
United Arab Emirates,ARE,2015,9.818182,50.18182
United Arab Emirates,ARE,2019,21,43
United Arab Emirates,ARE,2020,14,51
United Arab Emirates,ARE,2021,10,34
United Arab Emirates,ARE,2022,11,60
United Kingdom,GBR,2005,301.39233,532.60767
United Kingdom,GBR,2006,325.1536,534.84644
United Kingdom,GBR,2007,337.8864,535.1136
United Kingdom,GBR,2008,293.62384,468.37616
United Kingdom,GBR,2009,225.17857,477.82144
United Kingdom,GBR,2010,226,529
United Kingdom,GBR,2011,194,445
United Kingdom,GBR,2012,183,444
United Kingdom,GBR,2013,204,398
United Kingdom,GBR,2014,206,377
United Kingdom,GBR,2015,196,423
United Kingdom,GBR,2016,192,581
United Kingdom,GBR,2017,238,542
United Kingdom,GBR,2018,243,484
United Kingdom,GBR,2019,208,563
United Kingdom,GBR,2020,174,461
United Kingdom,GBR,2021,214,543
United States,USA,1990,5156.36,18281.64
United States,USA,1991,5434.66,19268.34
United States,USA,1992,5227.2,18532.8
United States,USA,1993,5567.402,18958.598
United States,USA,1994,5015.09,18310.91
United States,USA,1995,5034.198,16571.803
United States,USA,1996,4498.705,15146.295
United States,USA,1997,4151.424,14056.576
United States,USA,1998,4141.656,12832.344
United States,USA,1999,3787.368,11734.632
United States,USA,2000,3709.468,11876.532
United States,USA,2001,4459.58,14573.42
United States,USA,2002,3760.5474,12468.453
United States,USA,2003,3694.7239,12833.276
United States,USA,2004,3551.8953,12596.1045
United States,USA,2005,3559.4219,13180.578
United States,USA,2006,3654,13655
United States,USA,2007,3678,13450
United States,USA,2008,3585,12880
United States,USA,2009,3530,11869
United States,USA,2010,3311,11411
United States,USA,2011,3262,11399
United States,USA,2012,3301,11555
United States,USA,2013,3169.3813,11149.619
United States,USA,2014,3183.842,10980.158
United States,USA,2015,3333.703,12549.297
United States,USA,2016,3716.8743,13696.126
United States,USA,2017,3694.136,13599.864
United States,USA,2018,3694.4316,12679.568
United States,USA,2019,3587.091,13081.909
United States,USA,2020,4349.5464,17220.453
United States,USA,2021,5080,17982
United States,USA,2022,4771,17472
United States,USA,2023,4359,15437
United States Virgin Islands,VIR,1997,6,24
United States Virgin Islands,VIR,1998,2,23
United States Virgin Islands,VIR,1999,4,23
United States Virgin Islands,VIR,2000,3,20
United States Virgin Islands,VIR,2001,2,26
United States Virgin Islands,VIR,2002,5,36
United States Virgin Islands,VIR,2003,3,28
United States Virgin Islands,VIR,2004,1,36
United States Virgin Islands,VIR,2005,3,34
United States Virgin Islands,VIR,2006,4,39
United States Virgin Islands,VIR,2007,3,40
United States Virgin Islands,VIR,2008,2,44
United States Virgin Islands,VIR,2009,2,48
United States Virgin Islands,VIR,2010,7,49
United States Virgin Islands,VIR,2011,3,42
United States Virgin Islands,VIR,2012,2,50
Uruguay,URY,2006,43,159
Uruguay,URY,2007,32,162
Uruguay,URY,2008,44,177
Uruguay,URY,2009,45,181
Uruguay,URY,2010,41,164
Uruguay,URY,2011,41,158
Uruguay,URY,2012,38,229
Uruguay,URY,2013,54,206
Uruguay,URY,2014,51,217
Uruguay,URY,2015,50,243
Uruguay,URY,2016,42,222
Uruguay,URY,2017,55,228
Uruguay,URY,2018,57,364
Uruguay,URY,2019,48,346
Uruguay,URY,2020,38,303
Uruguay,URY,2021,40,266
Uruguay,URY,2022,48,335
Uruguay,URY,2023,56,325
Uzbekistan,UZB,2015,216,510
Uzbekistan,UZB,2016,258,499
Uzbekistan,UZB,2017,205,386
Uzbekistan,UZB,2018,176,298
Uzbekistan,UZB,2019,138,258
Uzbekistan,UZB,2020,161,288
Uzbekistan,UZB,2021,179,300
Vanuatu,VUT,2019,1,1
Vanuatu,VUT,2020,1,0
Vatican,VAT,2009,0,0
Vatican,VAT,2010,0,0
Vatican,VAT,2011,0,0
Vatican,VAT,2012,0,0
Vatican,VAT,2013,0,0
Vatican,VAT,2014,0,0
Vatican,VAT,2015,0,0
Vatican,VAT,2021,0,0
Vatican,VAT,2022,0,0
Vatican,VAT,2023,0,0
Venezuela,VEN,1990,187.01102,2286.989
Venezuela,VEN,1992,231.8196,3034.1804
Venezuela,VEN,1993,308.0582,3983.942
Venezuela,VEN,1994,328.8962,4404.104
Venezuela,VEN,1996,356.16672,4604.8335
Venezuela,VEN,1997,354.0503,3870.9497
Venezuela,VEN,1998,374.72488,4175.275
Venezuela,VEN,1999,421.9388,5552.061
Venezuela,VEN,2000,520.10767,7501.892
Venezuela,VEN,2001,483.71002,7476.29
Venezuela,VEN,2002,845.0836,8771.916
Venezuela,VEN,2003,689.9341,10652.066
Venezuela,VEN,2004,598.4378,9120.5625
Venezuela,VEN,2005,556.46515,9407.535
Venezuela,VEN,2006,669.6751,11587.325
Venezuela,VEN,2007,672.103,12483.897
Venezuela,VEN,2008,735,13854
Venezuela,VEN,2009,761.65314,13223.347
Venezuela,VEN,2010,789.1359,12290.864
Venezuela,VEN,2011,804.829,13293.171
Venezuela,VEN,2012,940.7606,15131.239
Venezuela,VEN,2015,731,14606
Venezuela,VEN,2016,806,16280
Venezuela,VEN,2017,788,13662
Western Asia (UN),,2000,1921.8203,6861.1724
Western Asia (UN),,2001,1983.8103,7162.488
Western Asia (UN),,2002,2038.2634,7397.986
Western Asia (UN),,2003,2129.6094,7511.834
Western Asia (UN),,2004,2185.9224,7706.785
Western Asia (UN),,2005,2346.633,8464.14
Western Asia (UN),,2006,2254.1987,8367.523
Western Asia (UN),,2007,2282.62,8706.052
Western Asia (UN),,2008,1960.571,8750.124
Western Asia (UN),,2009,2331.7942,6241.209
Western Asia (UN),,2010,1911.6525,6790.7163
Western Asia (UN),,2011,2666.7542,9133.464
Western Asia (UN),,2012,2701.1533,9581.483
Western Asia (UN),,2013,2759.3318,9995.193
Western Asia (UN),,2014,2749.0981,9562.68
Western Asia (UN),,2015,2531.2056,9656.649
Western Asia (UN),,2016,2556.2087,10872.103
Western Asia (UN),,2017,2459.0454,11767.91
Western Asia (UN),,2018,2283.0166,12347.667
Western Asia (UN),,2019,2403.1248,11399.846
Western Asia (UN),,2020,2268.8215,9844.653
Western Asia (UN),,2021,2042.2781,10770.157
Western Asia (UN),,2022,2414.998,11063.349
Western Asia (UN),,2023,2732.8037,11894.639
Western Europe (UN),,2000,1181.4287,1655.5715
Western Europe (UN),,2001,1142.3657,1609.6343
Western Europe (UN),,2002,1184.3048,1652.528
Western Europe (UN),,2003,1095.0337,1429.8048
Western Europe (UN),,2004,1083.4762,1490.246
Western Europe (UN),,2005,1025.685,1393.4879
Western Europe (UN),,2006,966.7695,1257.7697
Western Europe (UN),,2007,952.1258,1269.8691
Western Europe (UN),,2008,923.2751,1278.7958
Western Europe (UN),,2009,857.2138,1088.7861
Western Europe (UN),,2010,858.1872,1061.8129
Western Europe (UN),,2011,837.4468,1114.5532
Western Europe (UN),,2012,743.93805,1049.0619
Western Europe (UN),,2013,801.74915,980.25085
Western Europe (UN),,2014,755.75037,1047.2496
Western Europe (UN),,2015,857.5896,1151.4104
Western Europe (UN),,2016,908,1206
Western Europe (UN),,2017,830.7,1140.3
Western Europe (UN),,2018,773.6684,1142.3315
Western Europe (UN),,2019,704.3767,1071.6233
Western Europe (UN),,2020,694.6211,1165.3789
Western Europe (UN),,2021,681,1112
Western Europe (UN),,2022,706.7264,1259.9537
Western Europe (UN),,2023,750.6136,1332.3795
World,OWID_WRL,2000,84886.58,342818.06
World,OWID_WRL,2001,86791.016,352222.1
World,OWID_WRL,2002,86212.99,356168.94
World,OWID_WRL,2003,84718.2,351730.3
World,OWID_WRL,2004,84653.266,342942.53
World,OWID_WRL,2005,81912.414,337409.16
World,OWID_WRL,2006,80056.47,336718
World,OWID_WRL,2007,79411.26,331032.9
World,OWID_WRL,2008,78284.71,337129.56
World,OWID_WRL,2009,82171.66,341788
World,OWID_WRL,2010,81856.95,345846.78
World,OWID_WRL,2011,83591.28,354420.88
World,OWID_WRL,2012,84491.46,360858.88
World,OWID_WRL,2013,84143.93,359980.34
World,OWID_WRL,2014,84892.78,364135.3
World,OWID_WRL,2015,82379.99,360056.62
World,OWID_WRL,2016,84153.55,366892.22
World,OWID_WRL,2017,83793.23,366869.78
World,OWID_WRL,2018,82055.984,354822.75
World,OWID_WRL,2019,80418.08,341100.72
World,OWID_WRL,2020,79925.875,337039.28
World,OWID_WRL,2021,84261.55,354136.34
World,OWID_WRL,2022,83658.195,340427.16
World,OWID_WRL,2023,84551.17,335980.56
Zimbabwe,ZWE,1990,183,404
Zimbabwe,ZWE,2018,163,571
Zimbabwe,ZWE,2019,167,623
Zimbabwe,ZWE,2020,146,634
Zimbabwe,ZWE,2021,158,824
Zimbabwe,ZWE,2022,200,886
